MWSMD_IP_SUBTYPE,SiteID
wifi,616123
wifi,657003
wifi,616104
wifi,614069
wifi,655021
wifi,601047
wifi,600044
wifi,636010
wifi,656042
wifi,656102
wifi,656130
wifi,650047
wifi,650048
wifi,616172
wifi,647007
wifi,647006
wifi,652044
wifi,648003
wifi,628048
wifi,628083
wifi,629047
wifi,630061
wifi,605045
wifi,604069
wifi,605088
wifi,603001
wifi,656021
wifi,655123
wifi,655050
wifi,654025
wifi,654048
wifi,654066
wifi,657063
wifi,660067
wifi,660068
wifi,659021
wifi,615001
wifi,682166
wifi,602061
wifi,636001
wifi,636027
wifi,636026
wifi,600102
wifi,620086
wifi,633030
wifi,618004
wifi,619002
wifi,675061
wifi,691166
wifi,691145
wifi,637027
wifi,637049
wifi,641047
wifi,643022
wifi,641090
wifi,641110
wifi,642001
wifi,642011
wifi,642022
wifi,642030
wifi,642050
wifi,642083
wifi,602021
wifi,661007
wifi,602027
wifi,661028
wifi,661104
wifi,682043
wifi,647022
wifi,673044
wifi,695024
wifi,695004
wifi,635542
wifi,661043
wifi,632083
wifi,697030
wifi,673024
wifi,678008
wifi,697128
wifi,698022
wifi,632023
wifi,694042
wifi,632069
wifi,697121
wifi,680006
wifi,680028
wifi,680030
wifi,652050
wifi,650025
wifi,649108
wifi,649062
wifi,649033
wifi,649027
wifi,649007
wifi,680006
wifi,694001
wifi,696004
wifi,697001
wifi,695045
wifi,695030
wifi,657001
wifi,650082
wifi,692066
wifi,692090
wifi,692106
wifi,639007
wifi,680065
wifi,680025
wifi,678004
